Ticker
KOPN
MCF
BTU
GNK
VERU
CDEV
LASR
NGL
YELL
AKR
CVLB
ONCT
ARLP
LCTX
RBBN
KALV
HMHC
BLFS
FREE
AOSL
VOXX
NEX
STIM
STPK
ACRS
NPTN
FLMN
NSCO
LQDT
SXC
NMTR
LPG
SRGA
CDMO
BPFH
VNOM
KBAL
SSPK
ICHR
LTRPA
XHR
GWB
AROC
BRY
WTTR
TWI
AXTI
WLL
FRTA
UE
ROAD
PAGP
SMSI
FLNT
ACLS
ATSG
QEP
LOB
NXGN
RTLR
RYAM
ADTN
ACTG
LADR
BPMP
SCS
DNOW
UCTT
CNDT
TTI
ACRE
AQB
AINV
GPMT
PLAB
FIII
ZIXI
CRS
MTW
RPT
PUMP
ATRO
AIR
ARI
GMS
QNST
PFS
UFS
CMO
MTEM
RAPT
NWBI
OEC
DRH
EPAC
CVGI
GTN
GRTS
TWO
KRNY
BCSF
HOPE
ROIC
PMT
ABR
ORBC
STRO
TRST
HTLD
HNI
CMRX
FCF
PRGS
CKH
BRMK
ALEX
GSAH
MTSC
ECOM
NCMI
RC
FSRV
BSIG
CCX
AAN
GNL
OII
RPLA
NBLX
CXP
SPH
LNTH
BCOV
CATM
CYH
EXTR
HTGC
STON
RWT
MITK
GFF
HEP
IRT
MOD
AQMS
GLDD
CRSA
PBI
APTS
MFA
TILE
BRBR
NMRK
TRTX
NS
CLDT
VSTM
ACCO
JNCE
GMRE
MRTN
BCOR
BTBT
PAE
TACO
BDSI
MNR
MESA
CRIS
FSP
OIS
TG
NYMT
WSR
GEL
DLX
SESN
CLNC
WRE
MHO
CARS
LL
TGI
CCO
EYPT
SURF
BRKL
TBBK
TAST
WOW
NMIH
GRBK
ANGO
AVID
HSC
SNR
HT
ATRS
DRRX
BNED
BHLB
QMCO
POWW
AMRX
TYME
BZH
EGAN
ATEN
QUOT
TFFP
BW
SMCI
ORGO
ABEO
